"","NSub","mbias_0.5_low_short","mbias_0.5_low_long","mbias_0.5_medium_short","mbias_0.5_medium_long","mbias_0.5_high_short","mbias_0.5_high_long","mbias_0.8_low_short","mbias_0.8_low_long","mbias_0.8_medium_short","mbias_0.8_medium_long","mbias_0.8_high_short","mbias_0.8_high_long","mbias_1.1_low_short","mbias_1.1_low_long","mbias_1.1_medium_short","mbias_1.1_medium_long","mbias_1.1_high_short","mbias_1.1_high_long","mbias_1.4_low_short","mbias_1.4_low_long","mbias_1.4_medium_short","mbias_1.4_medium_long","mbias_1.4_high_short","mbias_1.4_high_long","mbias_1.7_low_short","mbias_1.7_low_long","mbias_1.7_medium_short","mbias_1.7_medium_long","mbias_1.7_high_short","mbias_1.7_high_long","cv_0.5_low_short","cv_0.5_low_long","cv_0.5_medium_short","cv_0.5_medium_long","cv_0.5_high_short","cv_0.5_high_long","cv_0.8_low_short","cv_0.8_low_long","cv_0.8_medium_short","cv_0.8_medium_long","cv_0.8_high_short","cv_0.8_high_long","cv_1.1_low_short","cv_1.1_low_long","cv_1.1_medium_short","cv_1.1_medium_long","cv_1.1_high_short","cv_1.1_high_long","cv_1.4_low_short","cv_1.4_low_long","cv_1.4_medium_short","cv_1.4_medium_long","cv_1.4_high_short","cv_1.4_high_long","cv_1.7_low_short","cv_1.7_low_long","cv_1.7_medium_short","cv_1.7_medium_long","cv_1.7_high_short","cv_1.7_high_long"
"1",1,0.0409698208332827,0.0279924541673608,0.0616020083335561,0.0249760375004371,0.0869703999999464,0.0483451500006234,-0.00932679999997588,-0.0243662166660272,0.0819572874999911,0.074305545833702,0.0739556041668615,0.0652467833338922,-0.09338827083308,-0.0426838249998185,-0.108551516666377,-0.0560666083327381,-0.0437317500000216,-0.085409149999299,-0.152081845833198,-0.154067487499469,-0.149034795832756,-0.271724533332516,-0.206413470833235,-0.138702099999339,-0.242991279166491,-0.347359745832603,-0.280080454166425,-0.378061804166002,-0.232735316666409,-0.344728987499794,0.204680213913373,0.218291106913515,0.150928991470105,0.21178798483303,0.160793707347626,0.210788227112314,0.14022667421638,0.181540789767781,0.148771512149192,0.1843659490299,0.14557840457716,0.23589099015007,0.140497000115908,0.164197909750335,0.123469186526766,0.18014493759371,0.16040629312535,0.118509380304829,0.114072111040421,0.131087863669503,0.16412827234425,0.15920299549939,0.131534059254243,0.158874089495978,0.126264052037209,0.17941536728988,0.121094291714593,0.157152959191637,0.146027624533159,0.165592162350265
"2",2,0.0525606083331999,0.0876218833338195,0.0139715250005187,0.00330387083325456,0.0447014083336702,0.0489725500007504,0.0315988333344345,0.0923030041667819,0.0559574791673488,0.15866497499992,0.118650941666783,0.0899484250002084,0.0526058791669128,0.0736325416676056,0.0906512541669751,0.113591400000344,0.0902542125012586,0.0582812791674161,-0.0140316999997896,0.127277266666564,0.00161190416756662,0.045976254166908,0.0616201083332879,0.00163530416718172,-0.090016995832866,-0.0603727124997628,-0.139720387499013,-0.138025941666183,-0.089392149999215,-0.127722616665051,0.146392383365225,0.2458872894773,0.161902355896839,0.221539716611289,0.242332370666481,0.299054307389525,0.27292893247302,0.164365817716876,0.162092314983367,0.217511079149673,0.178616809807886,0.209247115092725,0.217226432056918,0.164071545471371,0.129542948816616,0.129247435126834,0.149656962685763,0.149092056844179,0.117263682534087,0.101678336573712,0.123386737535502,0.130485900695661,0.13312709023729,0.137760080382302,0.124882441993495,0.118350037992637,0.224810525567342,0.14379106760494,0.132885847597404,0.137853793016753
"3",3,0.10293634166762,0.098243625000805,0.0762745458340627,0.0886721916672523,0.0652988625006591,0.0649700041672313,0.0305841208338714,0.0342957458344481,-0.0143686166660265,0.0202985166672552,-0.040725083332554,0.0332960750006085,0.0463185791671719,0.0382904041672172,-0.0316922041657091,0.0472758666675133,-0.0456913541658879,0.0326470208340803,-0.065402308332517,0.0586164166673495,-0.0607428958327545,-0.0860160874994107,-0.13102543333268,-0.0583910291654763,-0.0580343624993342,-0.0950184124995626,-0.114371991665822,-0.119700429166203,-0.224041058332851,-0.25469732499922,0.127282097433767,0.117994500986309,0.15391002727522,0.213392605929032,0.198681266545569,0.154209584360575,0.128148333033204,0.122075551567767,0.163801579160056,0.191919714297921,0.172090864881136,0.15644284211599,0.100694452678045,0.134633248373159,0.150422982756755,0.112556826703204,0.174878839618309,0.170001297749832,0.174971907143231,0.137805420993856,0.122746354361563,0.134992465874854,0.087266545131903,0.119221000755279,0.0744506753173679,0.0938110111761299,0.094868369532862,0.137507556146662,0.134660728694635,0.189542379750577
"4",4,0.146978587499774,0.097985712499811,0.0113080916664406,0.0533145041665364,0.0563304333331587,0.106634329166421,0.0756199583331939,0.0492696874996852,0.00224415416648749,-0.0643878041668302,-0.0523540250001873,-0.131351216666945,0.0426337791666109,0.0169755249998633,-0.227321016666836,-0.207017179166822,-0.248015766666807,-0.26107680000016,-0.0763383041668286,-0.0790515041667599,-0.297714079166936,-0.379775825000217,-0.349687662500149,-0.368028920833366,-0.182702566666859,-0.164947508333561,-0.392941581818187,-0.482040237500174,-0.491361333333517,-0.538372087500251,0.288237801438374,0.3148379957018,0.213449839533111,0.262641718886237,0.260199554978716,0.258310679573044,0.186873354241145,0.274598954144825,0.192802734159306,0.245604227157404,0.194701348133135,0.220186216265711,0.228021337107077,0.199645006634943,0.219935512917875,0.209675285722004,0.192067135199022,0.185730820951001,0.167353623586162,0.150310353838883,0.192655215646915,0.249868090184989,0.201364429106775,0.267115975124612,0.185201024657998,0.237741988483746,0.218027162763552,0.271836570128411,0.192034637516909,0.364115351246973
"5",5,0.0396177166663847,0.0966508083331519,0.0962987083330707,0.0999987458330717,0.110650029166436,0.090682613043179,-0.081030325000188,-0.0783476333335671,-0.0700475458335442,-0.0904090250002393,-0.078383600000287,-0.0847161916668976,-0.188353733333615,-0.173363920833534,-0.238354100000261,-0.312386187500158,-0.23534115833365,-0.314700041666845,-0.405502783333441,-0.388040391666857,-0.399879145833536,-0.404734595833516,-0.391376845833486,-0.460717316666853,-0.359709208333614,-0.542388800000208,-0.514345050000251,-0.674690566666861,-0.474046291666972,-0.63067937083354,0.218992765389081,0.164361131637412,0.25218788415077,0.269517441495387,0.314405055510737,0.255099054393922,0.222899253250531,0.317727762582126,0.227844387585023,0.195858538289231,0.194438997479352,0.222616825818218,0.213654247489263,0.259934893645472,0.195355456046204,0.236712729866997,0.251420984044056,0.273870171588842,0.206418757680793,0.301259366683962,0.181328540434638,0.278944220004845,0.198021879499398,0.23161028508702,0.201687120094182,0.314668212784296,0.201785153094478,0.343051767171053,0.226552390764843,0.333275209400644
"6",6,0.0762642166660044,0.0723277749993182,0.138979987498601,0.189951179164988,0.0775440124990231,0.0913103958320107,0.0249693791658501,0.000968612499294363,-0.0559990125016612,-0.0386984083341304,0.0106333708317,-0.080686383334872,-0.00903897083452043,-0.0523811166682966,-0.251345729166792,-0.249016633335123,-0.164038212500767,-0.156684179168011,-0.219756575001179,-0.248313495653162,-0.260399554167164,-0.383388462500481,-0.318337100001584,-0.370413945835427,-0.292017845833804,-0.262579079167714,-0.465034845833838,-0.508032104167372,-0.388379862501165,-0.416375741666942,0.232321807441444,0.148895818557223,0.212415581775741,0.238874587346963,0.241577084674285,0.202485856824172,0.174274335105054,0.176047530400099,0.202933605835121,0.209603114608856,0.234296440832868,0.224251123370897,0.178126552493604,0.198422706774151,0.233144796784116,0.216597803567531,0.233654560910275,0.190977123798753,0.13449150820021,0.23131063633483,0.257807276180034,0.22546491091182,0.220744348540361,0.249290987061914,0.137491528780163,0.180610539356262,0.153977851966315,0.257874401265768,0.185143381169005,0.238334683309013
"7",7,0.119271608333269,0.19865034583322,0.0452767541665509,0.156934741666523,0.0342663583331936,0.117959574999844,0.105295037499817,0.0789777374998996,0.0522793333331625,0.103999287499843,-0.0566794791667633,-0.0163542000000784,-0.0273801625001096,-0.0337184041667731,-0.12273564166687,-0.0370557833334819,-0.15933500416684,-0.164039766666843,-0.144043458333441,-0.179660229166808,-0.180687395833558,-0.200055995833408,-0.244679020833444,-0.314172216666818,-0.326122262500109,-0.349055354166772,-0.336380429166787,-0.344013825000144,-0.391415079166911,-0.394078550000104,0.261014963400461,0.268139405372985,0.318375818262773,0.217553429114257,0.3068732438594,0.213393014594779,0.223499012447743,0.162514038801119,0.176157837208527,0.187019363767353,0.222388227005859,0.168828890364947,0.161331265355659,0.1662188234143,0.153284964612154,0.197034925132899,0.130523875676901,0.214535938213993,0.116637797864586,0.186254999162094,0.160221794236375,0.118832981198112,0.143244896632265,0.28664636185032,0.101797132775553,0.12996706533718,0.149457934082116,0.171867915735674,0.169479169217433,0.144555373711009
"8",8,0.198636095834104,0.262995025001099,0.210279745834365,0.140310691667774,0.19395960416737,0.17689716521809,0.115246183334072,0.139287954167497,-0.0106929124993258,0.0662854833338732,0.100648795834172,0.128615375000959,-0.0180180083325241,0.0172501125004241,-0.0137121374996394,0.0158551391313564,-0.0140356499992966,-0.0487049083325115,-0.090017245832962,-0.0907114130427327,-0.126694987499191,-0.0920456291660645,-0.173689124999407,-0.16505213749967,-0.246390599999332,-0.284356616665881,-0.33287127499918,-0.233046062499068,-0.331296647825761,-0.258047391665989,0.349222797106338,0.483014282980108,0.44623017411353,0.330895032534209,0.314731126820923,0.361239748332461,0.205513723738873,0.307127030710629,0.277875915015231,0.2408757817891,0.268228194131313,0.286922002392652,0.148859945458789,0.255484778055112,0.197664421106369,0.200411395804716,0.161891836906154,0.246972839891244,0.176462113171469,0.207545877738156,0.207235737532372,0.228494133903683,0.148546178479946,0.174086229531064,0.179152676724539,0.203373086222502,0.297024857089635,0.211382032174366,0.262279015178866,0.207284845885251
"9",9,0.116008516666435,0.177968424999752,0.0766167708331219,0.0722796666664181,0.0619801458331798,0.191947362499718,0.0476169625000314,0.149270820833021,0.0442955083332132,0.00130384999968858,-0.0683749166668198,-0.0646872708336711,-0.0259981374999598,0.0806083166664318,-0.180709500000012,-0.189014079166873,-0.182046504167048,-0.211049891667032,-0.127737766666792,0.0102797124997627,-0.292480830435053,-0.18842873750015,-0.297667439130838,-0.309707141666899,-0.170684650000066,-0.194701670833706,-0.382676437500125,-0.309742395833678,-0.490021420833758,-0.495714241666928,0.215793701377087,0.332404998410287,0.208659254190775,0.234589903503382,0.254356665598954,0.303687519542672,0.247901269124642,0.27509805440049,0.260547701937591,0.225090885612392,0.256865354583997,0.263563333158094,0.229698446582857,0.274597263018169,0.23320520241833,0.250305778052808,0.24368652825175,0.297806622890369,0.236985309801672,0.255803262340714,0.265305994358003,0.238601649893995,0.244075429390005,0.246292316389999,0.161549745997829,0.208728749869777,0.172170683814786,0.244667550894456,0.186168374349661,0.252727943185754
"10",10,0.0892782458332894,0.071954445833029,0.165298029166479,0.0673481874998648,0.0583224374999057,0.0829633916664628,0.0302701958332221,-0.0317164583337027,0.0199139999998456,-0.0603706708333676,-0.0600577625001961,0.00111833913027737,-0.197357237500129,-0.0790702791669049,-0.16743078750003,-0.220377850000087,-0.171716441666756,-0.147352862500143,-0.30802717916695,-0.273036800000023,-0.307716870833549,-0.438372237500179,-0.330691766666792,-0.321364083333714,-0.501818350000157,-0.484030925000223,-0.513689691666814,-0.462708062500271,-0.456589791666717,-0.526715450000175,0.240761128156801,0.312468250583408,0.322807970872481,0.26106896295893,0.367277194643564,0.241330735578654,0.289114082355903,0.23968090039306,0.222130524989145,0.248312426244058,0.201969439788156,0.195053802659424,0.168459096637625,0.222572949507393,0.172072457469068,0.267617786958572,0.286436439926627,0.215478381828898,0.158569927219158,0.180845871855878,0.182401302657166,0.259722110335405,0.198801090528139,0.219768377778597,0.161547541698491,0.184103170637307,0.171197788343226,0.180612285757896,0.129503717874136,0.213274506625562
"11",11,0.12262053333301,0.119672254166735,0.14430269999977,0.0899593208331927,0.0266647249999039,0.0685890333334763,0.055985495833058,0.0936205333331107,-0.000366162500330391,0.0213032416668397,0.0196069999996495,0.0042861749999209,0.0272695708331638,-0.0367163958334857,-0.118342224999969,-0.036000354166642,-0.110680041666802,-0.115377908333089,-0.115705550000119,-0.173356462500137,-0.232697137500152,-0.211695754166787,-0.342405995833705,-0.256382958333247,-0.209042645833356,-0.188005158333408,-0.24201967916696,-0.443401729166957,-0.35971512916668,-0.473027991666633,0.180530461140534,0.273572008620241,0.350906495362071,0.185603444132535,0.197703242791149,0.206144540245975,0.113944795545357,0.180618595239849,0.200621294862315,0.211393281508415,0.187446418847005,0.182953213421822,0.159096303588,0.206669150304882,0.193846855440514,0.137140442945793,0.233267955427536,0.174147431153505,0.133193563565955,0.139262969089072,0.133818781566295,0.195677856088372,0.165556355286922,0.189196141633151,0.149729402188635,0.130681300654858,0.186843640284635,0.150791796025555,0.12984233197252,0.126752412133273
"12",12,0.267294341666513,0.302295358333225,0.314965870832888,0.298319362499797,0.404297516666475,0.364293766666587,0.085943091666339,0.139258841666401,0.14493156249977,0.0706378833331124,0.145289824999596,0.111956304166466,-0.0900119708335827,-0.0373822500002217,-0.127697950000174,-0.177000483333355,-0.0747359041668536,-0.0943914739131526,-0.354386129166683,-0.161699395833574,-0.328044750000273,-0.329688641666862,-0.204689325000273,-0.391091958333451,-0.451054858333703,-0.476345704166943,-0.466873230434929,-0.571044370833601,-0.523382954166827,-0.476711479166948,0.23265557482289,0.237102704358325,0.234070127527349,0.315491419548726,0.322831179303294,0.357628254710717,0.188697364459514,0.226357127698215,0.2368861462262,0.28857444231447,0.252644146269046,0.271095429335761,0.167758988768394,0.228371166320412,0.215219229635817,0.268414613239098,0.277031135344904,0.231243613618623,0.206150840449516,0.21643308224736,0.209562686751462,0.165049791792014,0.232865928605573,0.212791892580352,0.188558818065784,0.184598704116191,0.189350429581891,0.21331438606488,0.24739958646141,0.24514178821734
"13",13,0.288310837499845,0.367986566666787,0.236313949999764,0.366288108333417,0.17397617916663,0.353307437500083,0.153606787500197,0.163859258333287,0.135985162500174,0.194638829166509,0.191967866666603,0.210204662500276,-0.0233750999999303,-0.0400489291661719,-0.0183503708333472,0.049293899999596,0.0872861333334487,0.117291133333371,-0.123702966666678,-0.21308164583326,-0.103704087499848,-0.135673625000193,-0.0863761249999242,-0.153375204167014,-0.2117592291665,-0.285698866666765,-0.320336870833247,-0.356036912499909,-0.261364733333373,-0.337427969565381,0.249935258270322,0.343555723974969,0.351472404579078,0.336153271293981,0.326784530078264,0.411734698066152,0.177626154396885,0.303828710487023,0.207590788221185,0.165104476004592,0.196371372213806,0.204073920884657,0.20381336473875,0.197017503664487,0.212855460020157,0.244274240856939,0.24735886642504,0.229214449246477,0.16695402974198,0.205920474027257,0.1909802828435,0.227549774701024,0.160729699439736,0.204423946277974,0.213852898055151,0.208129199379025,0.178876922389634,0.164164447228905,0.203317168944932,0.219755140512917
"14",14,0.123240370833211,0.24512087826068,0.121963930434682,0.115002887499865,0.155324720833126,0.146284408333097,0.0429169999997725,-0.0177066217391455,-0.0433435250000571,-0.059034458333692,-0.0693510208333976,-0.129913365217566,-0.165309025000242,-0.240399379166638,-0.290036645833516,-0.358463950000049,-0.229369325000207,-0.305356779166787,-0.384956341666987,-0.366071804166726,-0.506746295833536,-0.532048279166838,-0.491050941666983,-0.561551004167042,-0.61604295416685,-0.590014700000269,-0.695690670833568,-0.791718287500129,-0.752348633333622,-0.773982666666874,0.245025281577256,0.274934505740269,0.307145637637297,0.473416263698593,0.29052758827492,0.38045814286361,0.165253085960581,0.327077361242876,0.210391903124159,0.225670714543307,0.263819863347453,0.271758596699902,0.329021840675572,0.234360234907146,0.224017054098079,0.270300811013751,0.217405197118215,0.317748318280451,0.283650227024494,0.271678705426007,0.240703195415118,0.246759429130117,0.237249673916072,0.304630222699635,0.324480614038226,0.313757849680246,0.256250541538159,0.243878860130709,0.319485907386387,0.257502406706486
"15",15,0.126559599999875,0.183503574999814,0.194678878260635,0.208295283333086,0.185958254166527,0.263940966666382,0.100300491666314,0.0869680583330913,0.138640033333077,0.111795412499733,0.10592424166645,0.0749624833332632,-0.0780377750002839,-0.141944333333343,-0.0297253833336566,-0.0953713958336342,0.0363801869562017,-0.117241075000404,-0.241036895833535,-0.388620475000213,-0.207076783333703,-0.308154095833538,-0.224014741666967,-0.330708154167017,-0.417100341666897,-0.591709529166841,-0.413692687500327,-0.562847891666945,-0.436692408333586,-0.54871050833352,0.147296908574563,0.233840492276526,0.164341071038015,0.230405394215972,0.225183746579349,0.220595267998036,0.126718533256511,0.119722368949577,0.138740122952278,0.144477182655757,0.113577220334308,0.143239425635687,0.110142340340242,0.215262385857658,0.117407335822699,0.182072986568319,0.150664543466951,0.173958023317168,0.135750945218113,0.194463124878131,0.153944049264219,0.18748623572204,0.171850086377337,0.155427194737558,0.116663202901634,0.152252935388741,0.128609322969069,0.209213957168613,0.100519276927131,0.194281175721561
"16",16,0.0459521541665188,0.133634445833238,0.0350265130433232,0.0869880833332672,0.0232935583331653,0.0706438624999018,0.0445957291665138,0.186953674999905,0.0125883333331387,0.153948779166566,-0.0587167041668769,0.0629644916665407,0.019560745833193,0.0709365791665124,-0.0336850583334667,-0.0220733958335029,-0.0560262541668248,0.0242849541665644,-0.0823965750002496,-0.0553883291668067,-0.0487369791668271,-0.0810159125001149,-0.0680876583334149,0.057620520833217,-0.149947779166848,-0.137707179166817,-0.104726091666783,-0.196012608333378,-0.0793796958335302,-0.264433775000073,0.196568248638412,0.259707206667782,0.225897462367154,0.369773471856923,0.189097644591946,0.276222732178675,0.251888796467733,0.211676765288657,0.230638768511274,0.24780358968236,0.195505104361863,0.205288423556308,0.174279452869375,0.184567408486494,0.277402851201575,0.200295652283986,0.213451279819185,0.263078027008448,0.151093079894776,0.159554161551476,0.193432770503949,0.182548810522804,0.187313946299781,0.209115384171356,0.129103928918605,0.171194188527215,0.129337040829868,0.192899454044207,0.13549731971074,0.173345197044481
