NExp,NSub,W1D05G1,W1D08G1,W1D11G1,W1D14G1,W1D17G1,W1D05G2,W1D08G2,W1D11G2,W1D14G2,W1D17G2,W3D05G1,W3D08G1,W3D11G1,W3D14G1,W3D17G1,W3D05G2,W3D08G2,W3D11G2,W3D14G2,W3D17G2,W5D05G1,W5D08G1,W5D11G1,W5D14G1,W5D17G1,W5D05G2,W5D08G2,W5D11G2,W5D14G2,W5D17G2
5,1,.0409698208332827,-.00932679999997584,-.09338827083308,-.152081845833198,-.242991279166491,.0279924541673608,-.0243662166660272,-.0426838249998185,-.154067487499469,-.347359745832603,.0616020083335561,.0819572874999911,-.108551516666377,-.149034795832756,-.280080454166425,.0249760375004371,.074305545833702,-.0560666083327382,-.271724533332516,-.378061804166002,.0869703999999463,.0739556041668616,-.0437317500000215,-.206413470833235,-.232735316666409,.0483451500006235,.0652467833338922,-.0854091499992991,-.138702099999339,-.344728987499794
5,2,.0525606083331998,.0315988333344345,.0526058791669128,-.0140316999997897,-.0900169958328661,.0876218833338195,.0923030041667819,.0736325416676057,.127277266666564,-.0603727124997628,.0139715250005186,.0559574791673488,.090651254166975,.00161190416756662,-.139720387499013,.00330387083325453,.15866497499992,.113591400000344,.045976254166908,-.138025941666183,.0447014083336702,.118650941666783,.0902542125012587,.0616201083332878,-.089392149999215,.0489725500007504,.0899484250002084,.0582812791674162,.00163530416718164,-.127722616665051
5,3,.10293634166762,.0305841208338714,.0463185791671719,-.065402308332517,-.0580343624993342,.098243625000805,.0342957458344481,.0382904041672171,.0586164166673494,-.0950184124995625,.0762745458340627,-.0143686166660265,-.031692204165709,-.0607428958327545,-.114371991665822,.0886721916672523,.0202985166672552,.0472758666675133,-.0860160874994107,-.119700429166203,.065298862500659,-.0407250833325539,-.0456913541658879,-.13102543333268,-.224041058332851,.0649700041672314,.0332960750006085,.0326470208340803,-.0583910291654764,-.25469732499922
5,4,.146978587499774,.0756199583331939,.0426337791666109,-.0763383041668286,-.182702566666859,.097985712499811,.0492696874996852,.0169755249998634,-.0790515041667598,-.164947508333561,.0113080916664406,.00224415416648749,-.227321016666836,-.297714079166936,-.392941581818187,.0533145041665364,-.0643878041668302,-.207017179166822,-.379775825000218,-.482040237500174,.0563304333331587,-.0523540250001873,-.248015766666807,-.349687662500149,-.491361333333517,.106634329166421,-.131351216666945,-.26107680000016,-.368028920833367,-.538372087500251
5,5,.0396177166663847,-.081030325000188,-.188353733333615,-.405502783333441,-.359709208333614,.0966508083331519,-.0783476333335671,-.173363920833534,-.388040391666857,-.542388800000208,.0962987083330707,-.0700475458335443,-.238354100000261,-.399879145833537,-.514345050000251,.0999987458330717,-.0904090250002393,-.312386187500158,-.404734595833516,-.67469056666686,.110650029166436,-.078383600000287,-.23534115833365,-.391376845833486,-.474046291666972,.0906826130431791,-.0847161916668976,-.314700041666845,-.460717316666853,-.63067937083354
5,6,.0762642166660044,.0249693791658501,-.00903897083452051,-.219756575001179,-.292017845833804,.0723277749993182,.000968612499294327,-.0523811166682967,-.248313495653162,-.262579079167714,.138979987498601,-.0559990125016612,-.251345729166792,-.260399554167164,-.465034845833838,.189951179164988,-.0386984083341304,-.249016633335123,-.383388462500481,-.508032104167372,.0775440124990231,.0106333708317,-.164038212500767,-.318337100001584,-.388379862501165,.0913103958320107,-.080686383334872,-.156684179168012,-.370413945835427,-.416375741666942
5,7,.119271608333269,.105295037499817,-.0273801625001095,-.144043458333441,-.326122262500109,.19865034583322,.0789777374998995,-.0337184041667732,-.179660229166808,-.349055354166772,.0452767541665509,.0522793333331624,-.12273564166687,-.180687395833558,-.336380429166787,.156934741666523,.103999287499843,-.037055783333482,-.200055995833408,-.344013825000144,.0342663583331936,-.0566794791667633,-.15933500416684,-.244679020833444,-.391415079166911,.117959574999844,-.0163542000000784,-.164039766666843,-.314172216666818,-.394078550000105
5,8,.198636095834104,.115246183334072,-.0180180083325241,-.090017245832962,-.246390599999332,.262995025001099,.139287954167497,.017250112500424,-.0907114130427326,-.284356616665881,.210279745834365,-.0106929124993258,-.0137121374996393,-.126694987499191,-.33287127499918,.140310691667774,.0662854833338731,.0158551391313563,-.0920456291660646,-.233046062499068,.193959604167371,.100648795834172,-.0140356499992967,-.173689124999407,-.331296647825761,.17689716521809,.128615375000959,-.0487049083325114,-.16505213749967,-.258047391665989
5,9,.116008516666435,.0476169625000314,-.0259981374999598,-.127737766666792,-.170684650000067,.177968424999752,.149270820833021,.0806083166664317,.0102797124997627,-.194701670833706,.076616770833122,.0442955083332132,-.180709500000012,-.292480830435053,-.382676437500125,.0722796666664181,.00130384999968854,-.189014079166873,-.18842873750015,-.309742395833678,.0619801458331798,-.0683749166668198,-.182046504167048,-.297667439130838,-.490021420833758,.191947362499718,-.0646872708336711,-.211049891667032,-.3097071416669,-.495714241666928
5,10,.0892782458332893,.0302701958332221,-.197357237500129,-.30802717916695,-.501818350000156,.071954445833029,-.0317164583337028,-.0790702791669049,-.273036800000023,-.484030925000223,.165298029166479,.0199139999998455,-.16743078750003,-.307716870833549,-.513689691666814,.0673481874998648,-.0603706708333676,-.220377850000087,-.438372237500179,-.462708062500271,.0583224374999058,-.0600577625001961,-.171716441666756,-.330691766666792,-.456589791666717,.0829633916664629,.00111833913027741,-.147352862500143,-.321364083333714,-.526715450000175
5,11,.12262053333301,.055985495833058,.0272695708331638,-.115705550000119,-.209042645833356,.119672254166735,.0936205333331107,-.0367163958334857,-.173356462500137,-.188005158333408,.14430269999977,-.000366162500330391,-.118342224999969,-.232697137500152,-.24201967916696,.0899593208331927,.0213032416668397,-.0360003541666421,-.211695754166787,-.443401729166957,.0266647249999039,.0196069999996495,-.110680041666802,-.342405995833705,-.35971512916668,.0685890333334764,.00428617499992086,-.115377908333089,-.256382958333247,-.473027991666633
5,12,.267294341666513,.085943091666339,-.0900119708335828,-.354386129166684,-.451054858333703,.302295358333225,.139258841666401,-.0373822500002216,-.161699395833574,-.476345704166943,.314965870832888,.14493156249977,-.127697950000174,-.328044750000273,-.466873230434928,.298319362499797,.0706378833331124,-.177000483333355,-.329688641666862,-.571044370833601,.404297516666475,.145289824999596,-.0747359041668537,-.204689325000273,-.523382954166827,.364293766666587,.111956304166466,-.0943914739131525,-.391091958333452,-.476711479166948
5,13,.288310837499845,.153606787500197,-.0233750999999303,-.123702966666678,-.211759229166501,.367986566666787,.163859258333287,-.0400489291661719,-.21308164583326,-.285698866666765,.236313949999764,.135985162500174,-.0183503708333472,-.103704087499849,-.320336870833247,.366288108333417,.194638829166509,.0492938999995961,-.135673625000193,-.35603691249991,.17397617916663,.191967866666604,.0872861333334488,-.0863761249999242,-.261364733333373,.353307437500083,.210204662500276,.117291133333371,-.153375204167014,-.337427969565381
5,14,.355993183333093,.0682982416663662,-.222391152174101,-.465326400000335,-.700342129166787,.41576652499981,.182942591666339,-.151704841666966,-.426741508333392,-.690388304166989,.377988537499865,.0756327999997968,-.195705550000275,-.507042483333601,-.770634508333663,.428972399999793,.11729790416656,-.193360754166895,-.467702850000008,-.787380454167013,.393312091666322,.136396826086761,-.206365341666882,-.523025862500318,-.85104944166696,.396298195833121,.124617133333148,-.0947131500000903,-.507025366666828,-.759045770833544
5,15,.123240370833211,.0429169999997725,-.165309025000242,-.384956341666987,-.61604295416685,.24512087826068,-.0177066217391455,-.240399379166638,-.366071804166726,-.590014700000269,.121963930434682,-.0433435250000571,-.290036645833516,-.506746295833536,-.695690670833568,.115002887499865,-.059034458333692,-.358463950000049,-.532048279166839,-.791718287500128,.155324720833126,-.0693510208333976,-.229369325000207,-.491050941666983,-.752348633333622,.146284408333097,-.129913365217566,-.305356779166787,-.561551004167043,-.773982666666874
5,16,.126559599999875,.100300491666314,-.0780377750002838,-.241036895833535,-.417100341666897,.183503574999814,.0869680583330913,-.141944333333343,-.388620475000213,-.591709529166841,.194678878260635,.138640033333077,-.0297253833336565,-.207076783333703,-.413692687500327,.208295283333086,.111795412499733,-.0953713958336343,-.308154095833538,-.562847891666945,.185958254166527,.10592424166645,.0363801869562018,-.224014741666967,-.436692408333586,.263940966666382,.0749624833332632,-.117241075000404,-.330708154167017,-.54871050833352
