"","Exp","WMSize","NSub","m_WMCrr","n","se_WMCrr"
"1","Exp1","low",1,0.915966386554622,119,0.0256482513440681
"2","Exp1","low",2,0.925,120,0.0242462824306782
"3","Exp1","low",3,0.883333333333333,120,0.0295514888401186
"4","Exp1","low",4,0.866666666666667,120,0.031292414663908
"5","Exp1","low",5,0.958333333333333,120,0.0183948536926662
"6","Exp1","low",6,0.875,120,0.0304440687945156
"7","Exp1","low",7,0.958333333333333,120,0.0183948536926662
"8","Exp1","low",8,0.829059829059829,117,0.0351034615934665
"9","Exp1","low",9,0.925,120,0.0242462824306782
"10","Exp1","low",10,0.95,120,0.020062750229098
"11","Exp1","low",11,0.891666666666667,120,0.0286105351086856
"12","Exp1","low",12,0.941666666666667,120,0.0215749926945751
"13","Exp1","low",13,0.92436974789916,119,0.0244434278335797
"14","Exp1","low",14,0.908333333333333,120,0.0265626871416717
"15","Exp1","low",15,0.958333333333333,120,0.0183948536926662
"16","Exp1","low",16,0.933333333333333,120,0.0229623546576125
"17","Exp1","medium",1,0.758333333333333,120,0.0394077927677865
"18","Exp1","medium",2,0.783333333333333,120,0.0379239020640365
"19","Exp1","medium",3,0.716666666666667,120,0.0414811797723995
"20","Exp1","medium",4,0.725,120,0.0411035196685566
"21","Exp1","medium",5,0.833333333333333,120,0.0343065790305767
"22","Exp1","medium",6,0.796610169491525,118,0.0373716852292954
"23","Exp1","medium",7,0.9,120,0.0276162634036218
"24","Exp1","medium",8,0.743589743589744,117,0.0407163963740285
"25","Exp1","medium",9,0.808333333333333,120,0.0362336596607828
"26","Exp1","medium",10,0.825,120,0.0349775720811217
"27","Exp1","medium",11,0.808333333333333,120,0.0362336596607828
"28","Exp1","medium",12,0.891666666666667,120,0.0286105351086856
"29","Exp1","medium",13,0.766666666666667,120,0.0389345666193704
"30","Exp1","medium",14,0.8,120,0.0368216845381624
"31","Exp1","medium",15,0.80672268907563,119,0.0365043018175645
"32","Exp1","medium",16,0.825,120,0.0349775720811217
"33","Exp1","high",1,0.73109243697479,119,0.0409901141233534
"34","Exp1","high",2,0.666666666666667,120,0.0433947713860775
"35","Exp1","high",3,0.65,120,0.0439070604289517
"36","Exp1","high",4,0.616666666666667,120,0.0447566107168272
"37","Exp1","high",5,0.766666666666667,120,0.0389345666193704
"38","Exp1","high",6,0.798319327731092,119,0.0370947061825546
"39","Exp1","high",7,0.808333333333333,120,0.0362336596607828
"40","Exp1","high",8,0.615384615384615,117,0.0453650699641567
"41","Exp1","high",9,0.683333333333333,120,0.0428214274204997
"42","Exp1","high",10,0.766666666666667,120,0.0389345666193704
"43","Exp1","high",11,0.675,120,0.0431158774197153
"44","Exp1","high",12,0.875,120,0.0304440687945156
"45","Exp1","high",13,0.658333333333333,120,0.0436584074407572
"46","Exp1","high",14,0.675,120,0.0431158774197153
"47","Exp1","high",15,0.708333333333333,120,0.0418413704377862
"48","Exp1","high",16,0.75,120,0.0398606427752317
"49","Exp2","low",1,0.908333333333333,120,0.0265626871416717
"50","Exp2","low",2,0.932773109243697,119,0.0231499999751033
"51","Exp2","low",3,0.883333333333333,120,0.0295514888401186
"52","Exp2","low",4,0.816666666666667,120,0.0356194159305587
"53","Exp2","low",5,0.903508771929825,114,0.0278987076394153
"54","Exp2","low",6,0.883333333333333,120,0.0295514888401186
"55","Exp2","low",7,0.915966386554622,119,0.0256482513440681
"56","Exp2","low",8,0.933333333333333,120,0.0229623546576125
"57","Exp2","low",9,0.88135593220339,118,0.0300229817382098
"58","Exp2","low",10,0.925,120,0.0242462824306782
"59","Exp2","low",11,0.916666666666667,120,0.0254424399503991
"60","Exp2","low",12,0.808333333333333,120,0.0362336596607828
"61","Exp2","low",13,0.9,120,0.0276162634036218
"62","Exp2","low",14,0.882352941176471,119,0.0297853823455427
"63","Exp2","low",15,0.95,120,0.020062750229098
"64","Exp2","low",16,0.941666666666667,120,0.0215749926945751
"65","Exp2","medium",1,0.808333333333333,120,0.0362336596607828
"66","Exp2","medium",2,0.666666666666667,120,0.0433947713860775
"67","Exp2","medium",3,0.663865546218487,119,0.0436704888339608
"68","Exp2","medium",4,0.725,120,0.0411035196685566
"69","Exp2","medium",5,0.663793103448276,116,0.0442436380863284
"70","Exp2","medium",6,0.683333333333333,120,0.0428214274204997
"71","Exp2","medium",7,0.658333333333333,120,0.0436584074407572
"72","Exp2","medium",8,0.775,120,0.0384402118033031
"73","Exp2","medium",9,0.815126050420168,119,0.0358873772091326
"74","Exp2","medium",10,0.783333333333333,120,0.0379239020640365
"75","Exp2","medium",11,0.691666666666667,120,0.0425110981465022
"76","Exp2","medium",12,0.508333333333333,120,0.0460207125751414
"77","Exp2","medium",13,0.716666666666667,120,0.0414811797723995
"78","Exp2","medium",14,0.708333333333333,120,0.0418413704377862
"79","Exp2","medium",15,0.848739495798319,119,0.0331238989771865
"80","Exp2","medium",16,0.875,120,0.0304440687945156
"81","Exp2","high",1,0.75,120,0.0398606427752317
"82","Exp2","high",2,0.533333333333333,120,0.0459247093152251
"83","Exp2","high",3,0.633333333333333,120,0.0443604098483567
"84","Exp2","high",4,0.608333333333333,120,0.0449337613747409
"85","Exp2","high",5,0.728070175438597,114,0.0420425475416292
"86","Exp2","high",6,0.666666666666667,120,0.0433947713860775
"87","Exp2","high",7,0.512605042016807,119,0.0462086654947284
"88","Exp2","high",8,0.722689075630252,119,0.0413857383349892
"89","Exp2","high",9,0.65,120,0.0439070604289517
"90","Exp2","high",10,0.708333333333333,120,0.0418413704377862
"91","Exp2","high",11,0.697478991596639,119,0.042465359843781
"92","Exp2","high",12,0.546218487394958,119,0.0460254528454946
"93","Exp2","high",13,0.7,120,0.0421845391529786
"94","Exp2","high",14,0.625,120,0.0445655534361269
"95","Exp2","high",15,0.775,120,0.0384402118033031
"96","Exp2","high",16,0.766666666666667,120,0.0389345666193704
"97","Exp3","low",1,0.866666666666667,120,0.031292414663908
"98","Exp3","low",2,0.891666666666667,120,0.0286105351086856
"99","Exp3","low",3,0.85,120,0.0328699280934587
"100","Exp3","low",4,0.825,120,0.0349775720811217
"101","Exp3","low",5,0.882352941176471,119,0.0297853823455427
"102","Exp3","low",6,0.840336134453782,119,0.0338626789003525
"103","Exp3","low",7,0.875,120,0.0304440687945156
"104","Exp3","low",8,0.933333333333333,120,0.0229623546576125
"105","Exp3","low",9,0.858333333333333,120,0.0321000337206357
"106","Exp3","low",10,0.883333333333333,120,0.0295514888401186
"107","Exp3","low",11,0.883333333333333,120,0.0295514888401186
"108","Exp3","low",12,0.866666666666667,120,0.031292414663908
"109","Exp3","low",13,0.875,120,0.0304440687945156
"110","Exp3","low",14,0.76271186440678,118,0.0394978453455081
"111","Exp3","low",15,0.841666666666667,120,0.033604690736675
"112","Exp3","low",16,0.941666666666667,120,0.0215749926945751
"113","Exp3","medium",1,0.725,120,0.0411035196685566
"114","Exp3","medium",2,0.683333333333333,120,0.0428214274204997
"115","Exp3","medium",3,0.7,120,0.0421845391529786
"116","Exp3","medium",4,0.638655462184874,119,0.044410487031448
"117","Exp3","medium",5,0.756302521008403,119,0.0396885073397223
"118","Exp3","medium",6,0.575,120,0.0455063548455876
"119","Exp3","medium",7,0.808333333333333,120,0.0362336596607828
"120","Exp3","medium",8,0.689075630252101,119,0.0427909866412101
"121","Exp3","medium",9,0.747899159663866,119,0.0401421050084202
"122","Exp3","medium",10,0.725,120,0.0411035196685566
"123","Exp3","medium",11,0.722689075630252,119,0.0413857383349892
"124","Exp3","medium",12,0.73109243697479,119,0.0409901141233534
"125","Exp3","medium",13,0.641666666666667,120,0.0441409835571806
"126","Exp3","medium",14,0.546218487394958,119,0.0460254528454946
"127","Exp3","medium",15,0.741666666666667,120,0.0402938036516246
"128","Exp3","medium",16,0.766666666666667,120,0.0389345666193704
"129","Exp3","high",1,0.616666666666667,120,0.0447566107168272
"130","Exp3","high",2,0.566666666666667,120,0.0456161411446998
"131","Exp3","high",3,0.598290598290598,117,0.0457137689454646
"132","Exp3","high",4,0.608333333333333,120,0.0449337613747409
"133","Exp3","high",5,0.716666666666667,120,0.0414811797723995
"134","Exp3","high",6,0.5,120,0.046027105672703
"135","Exp3","high",7,0.708333333333333,120,0.0418413704377862
"136","Exp3","high",8,0.583333333333333,120,0.0453833382241447
"137","Exp3","high",9,0.630252100840336,119,0.0446273893573374
"138","Exp3","high",10,0.708333333333333,120,0.0418413704377862
"139","Exp3","high",11,0.583333333333333,120,0.0453833382241447
"140","Exp3","high",12,0.563025210084034,119,0.0458546713554578
"141","Exp3","high",13,0.591666666666667,120,0.0452469833694679
"142","Exp3","high",14,0.508333333333333,120,0.0460207125751414
"143","Exp3","high",15,0.658333333333333,120,0.0436584074407572
"144","Exp3","high",16,0.675,120,0.0431158774197153
"145","Exp4a","low",1,0.85,120,0.0328699280934587
"146","Exp4a","low",2,0.725,120,0.0411035196685566
"147","Exp4a","low",3,0.739495798319328,119,0.0405757629811667
"148","Exp4a","low",4,0.848739495798319,119,0.0331238989771865
"149","Exp4a","low",5,0.858333333333333,120,0.0321000337206357
"150","Exp4a","low",6,0.791666666666667,120,0.0373847277732189
"151","Exp4a","low",7,0.848739495798319,119,0.0331238989771865
"152","Exp4a","low",8,0.933333333333333,120,0.0229623546576125
"153","Exp4a","low",9,0.825,120,0.0349775720811217
"154","Exp4a","low",10,0.783333333333333,120,0.0379239020640365
"155","Exp4a","low",11,0.833333333333333,120,0.0343065790305767
"156","Exp4a","low",12,0.733333333333333,120,0.0407079039206385
"157","Exp4a","low",13,0.833333333333333,120,0.0343065790305767
"158","Exp4a","low",14,0.658333333333333,120,0.0436584074407572
"159","Exp4a","low",15,0.908333333333333,120,0.0265626871416717
"160","Exp4a","low",16,0.891666666666667,120,0.0286105351086856
"161","Exp4a","medium",1,0.756302521008403,119,0.0396885073397223
"162","Exp4a","medium",2,0.591666666666667,120,0.0452469833694679
"163","Exp4a","medium",3,0.669491525423729,118,0.0436735991568758
"164","Exp4a","medium",4,0.627118644067797,118,0.0448967942887726
"165","Exp4a","medium",5,0.6,120,0.0450971692941134
"166","Exp4a","medium",6,0.791666666666667,120,0.0373847277732189
"167","Exp4a","medium",7,0.7,120,0.0421845391529786
"168","Exp4a","medium",8,0.641666666666667,120,0.0441409835571806
"169","Exp4a","medium",9,0.623931623931624,117,0.0451686227128833
"170","Exp4a","medium",10,0.675,120,0.0431158774197153
"171","Exp4a","medium",11,0.666666666666667,120,0.0433947713860775
"172","Exp4a","medium",12,0.563025210084034,119,0.0458546713554578
"173","Exp4a","medium",13,0.758333333333333,120,0.0394077927677865
"174","Exp4a","medium",14,0.53781512605042,119,0.0460909695375152
"175","Exp4a","medium",15,0.825,120,0.0349775720811217
"176","Exp4a","medium",16,0.816666666666667,120,0.0356194159305587
"177","Exp4a","high",1,0.608333333333333,120,0.0449337613747409
"178","Exp4a","high",2,0.508333333333333,120,0.0460207125751414
"179","Exp4a","high",3,0.53781512605042,119,0.0460909695375152
"180","Exp4a","high",4,0.588235294117647,119,0.0454979230672169
"181","Exp4a","high",5,0.575,120,0.0455063548455876
"182","Exp4a","high",6,0.705882352941177,119,0.0421228916735346
"183","Exp4a","high",7,0.55,120,0.0457963919107184
"184","Exp4a","high",8,0.583333333333333,120,0.0453833382241447
"185","Exp4a","high",9,0.541666666666667,120,0.0458670109070387
"186","Exp4a","high",10,0.6,120,0.0450971692941134
"187","Exp4a","high",11,0.558333333333333,120,0.0457127924455402
"188","Exp4a","high",12,0.647058823529412,119,0.0441788614977159
"189","Exp4a","high",13,0.658333333333333,120,0.0436584074407572
"190","Exp4a","high",14,0.541666666666667,120,0.0458670109070387
"191","Exp4a","high",15,0.691666666666667,120,0.0425110981465022
"192","Exp4a","high",16,0.725,120,0.0411035196685566
"193","Exp4b","low",1,0.870833333333333,240,0.0217395458976997
"194","Exp4b","low",2,0.870833333333333,240,0.0217395458976997
"195","Exp4b","low",3,0.870833333333333,240,0.0217395458976997
"196","Exp4b","low",4,0.895833333333333,240,0.0198009356548127
"197","Exp4b","low",5,0.841666666666667,240,0.0236626816673638
"198","Exp4b","low",6,0.891666666666667,240,0.0201460560942139
"199","Exp4b","low",7,0.845833333333333,240,0.0234069786597277
"200","Exp4b","low",8,0.720833333333333,240,0.0290774910759115
"201","Exp4b","low",9,0.8625,240,0.0223222835695967
"202","Exp4b","low",10,0.9,240,0.0194459414872339
"203","Exp4b","low",11,0.895833333333333,240,0.0198009356548127
"204","Exp4b","low",12,0.779166666666667,240,0.0268877967317953
"205","Exp4b","low",13,0.908333333333333,240,0.0187040676847291
"206","Exp4b","low",14,0.9125,240,0.0183158965946534
"207","Exp4b","low",15,0.879166666666667,240,0.0211269451500018
"208","Exp4b","low",16,0.866666666666667,240,0.0220344966896865
"209","Exp4b","medium",1,0.775,240,0.0270676050035747
"210","Exp4b","medium",2,0.770833333333333,240,0.0272435493104847
"211","Exp4b","medium",3,0.829166666666667,240,0.0243957932852688
"212","Exp4b","medium",4,0.8625,240,0.0223222835695967
"213","Exp4b","medium",5,0.691666666666667,240,0.0299341121944297
"214","Exp4b","medium",6,0.654166666666667,240,0.0308308395139955
"215","Exp4b","medium",7,0.766666666666667,240,0.0274157040453124
"216","Exp4b","medium",8,0.666666666666667,240,0.0305563490937331
"217","Exp4b","medium",9,0.829166666666667,240,0.0243957932852688
"218","Exp4b","medium",10,0.779166666666667,240,0.0268877967317953
"219","Exp4b","medium",11,0.829166666666667,240,0.0243957932852688
"220","Exp4b","medium",12,0.6375,240,0.0311603136083006
"221","Exp4b","medium",13,0.8125,240,0.0252999720134892
"222","Exp4b","medium",14,0.7125,240,0.0293372281820592
"223","Exp4b","medium",15,0.820833333333333,240,0.024857864655322
"224","Exp4b","medium",16,0.658333333333333,240,0.0307419879406075
"225","Exp4b","high",1,0.666666666666667,240,0.0305563490937331
"226","Exp4b","high",2,0.620833333333333,240,0.0314492511361192
"227","Exp4b","high",3,0.708333333333333,240,0.0294625246503174
"228","Exp4b","high",4,0.833333333333333,240,0.0241569150288546
"229","Exp4b","high",5,0.616666666666667,240,0.0315152857736787
"230","Exp4b","high",6,0.608333333333333,240,0.0316400260862209
"231","Exp4b","high",7,0.7375,240,0.0285202538096279
"232","Exp4b","high",8,0.6375,240,0.0311603136083006
"233","Exp4b","high",9,0.7125,240,0.0293372281820592
"234","Exp4b","high",10,0.670833333333333,240,0.0304595134552903
"235","Exp4b","high",11,0.7125,240,0.0293372281820592
"236","Exp4b","high",12,0.591666666666667,240,0.0318605807823054
"237","Exp4b","high",13,0.725,240,0.0289429683774414
"238","Exp4b","high",14,0.620833333333333,240,0.0314492511361192
"239","Exp4b","high",15,0.7125,240,0.0293372281820592
"240","Exp4b","high",16,0.629166666666667,240,0.031309775611892
