"","Exp","WMSize","NSub","gap","m_WMCrr","n","se_WMCrr"
"1","Exp4a","low",1,"short",0.85,120,0.0328699280934587
"2","Exp4a","low",2,"short",0.725,120,0.0411035196685566
"3","Exp4a","low",3,"short",0.739495798319328,119,0.0405757629811667
"4","Exp4a","low",4,"short",0.848739495798319,119,0.0331238989771865
"5","Exp4a","low",5,"short",0.858333333333333,120,0.0321000337206357
"6","Exp4a","low",6,"short",0.791666666666667,120,0.0373847277732189
"7","Exp4a","low",7,"short",0.848739495798319,119,0.0331238989771865
"8","Exp4a","low",8,"short",0.933333333333333,120,0.0229623546576125
"9","Exp4a","low",9,"short",0.825,120,0.0349775720811217
"10","Exp4a","low",10,"short",0.783333333333333,120,0.0379239020640365
"11","Exp4a","low",11,"short",0.833333333333333,120,0.0343065790305767
"12","Exp4a","low",12,"short",0.733333333333333,120,0.0407079039206385
"13","Exp4a","low",13,"short",0.833333333333333,120,0.0343065790305767
"14","Exp4a","low",14,"short",0.658333333333333,120,0.0436584074407572
"15","Exp4a","low",15,"short",0.908333333333333,120,0.0265626871416717
"16","Exp4a","low",16,"short",0.891666666666667,120,0.0286105351086856
"17","Exp4a","medium",1,"short",0.756302521008403,119,0.0396885073397223
"18","Exp4a","medium",2,"short",0.591666666666667,120,0.0452469833694679
"19","Exp4a","medium",3,"short",0.669491525423729,118,0.0436735991568758
"20","Exp4a","medium",4,"short",0.627118644067797,118,0.0448967942887726
"21","Exp4a","medium",5,"short",0.6,120,0.0450971692941134
"22","Exp4a","medium",6,"short",0.791666666666667,120,0.0373847277732189
"23","Exp4a","medium",7,"short",0.7,120,0.0421845391529786
"24","Exp4a","medium",8,"short",0.641666666666667,120,0.0441409835571806
"25","Exp4a","medium",9,"short",0.623931623931624,117,0.0451686227128833
"26","Exp4a","medium",10,"short",0.675,120,0.0431158774197153
"27","Exp4a","medium",11,"short",0.666666666666667,120,0.0433947713860775
"28","Exp4a","medium",12,"short",0.563025210084034,119,0.0458546713554578
"29","Exp4a","medium",13,"short",0.758333333333333,120,0.0394077927677865
"30","Exp4a","medium",14,"short",0.53781512605042,119,0.0460909695375152
"31","Exp4a","medium",15,"short",0.825,120,0.0349775720811217
"32","Exp4a","medium",16,"short",0.816666666666667,120,0.0356194159305587
"33","Exp4a","high",1,"short",0.608333333333333,120,0.0449337613747409
"34","Exp4a","high",2,"short",0.508333333333333,120,0.0460207125751414
"35","Exp4a","high",3,"short",0.53781512605042,119,0.0460909695375152
"36","Exp4a","high",4,"short",0.588235294117647,119,0.0454979230672169
"37","Exp4a","high",5,"short",0.575,120,0.0455063548455876
"38","Exp4a","high",6,"short",0.705882352941177,119,0.0421228916735346
"39","Exp4a","high",7,"short",0.55,120,0.0457963919107184
"40","Exp4a","high",8,"short",0.583333333333333,120,0.0453833382241447
"41","Exp4a","high",9,"short",0.541666666666667,120,0.0458670109070387
"42","Exp4a","high",10,"short",0.6,120,0.0450971692941134
"43","Exp4a","high",11,"short",0.558333333333333,120,0.0457127924455402
"44","Exp4a","high",12,"short",0.647058823529412,119,0.0441788614977159
"45","Exp4a","high",13,"short",0.658333333333333,120,0.0436584074407572
"46","Exp4a","high",14,"short",0.541666666666667,120,0.0458670109070387
"47","Exp4a","high",15,"short",0.691666666666667,120,0.0425110981465022
"48","Exp4a","high",16,"short",0.725,120,0.0411035196685566
"49","Exp4b","low",1,"short",0.883333333333333,120,0.0295514888401186
"50","Exp4b","low",1,"long",0.858333333333333,120,0.0321000337206357
"51","Exp4b","low",2,"short",0.825,120,0.0349775720811217
"52","Exp4b","low",2,"long",0.916666666666667,120,0.0254424399503991
"53","Exp4b","low",3,"short",0.841666666666667,120,0.033604690736675
"54","Exp4b","low",3,"long",0.9,120,0.0276162634036218
"55","Exp4b","low",4,"short",0.9,120,0.0276162634036218
"56","Exp4b","low",4,"long",0.891666666666667,120,0.0286105351086856
"57","Exp4b","low",5,"short",0.833333333333333,120,0.0343065790305767
"58","Exp4b","low",5,"long",0.85,120,0.0328699280934587
"59","Exp4b","low",6,"short",0.883333333333333,120,0.0295514888401186
"60","Exp4b","low",6,"long",0.9,120,0.0276162634036218
"61","Exp4b","low",7,"short",0.875,120,0.0304440687945156
"62","Exp4b","low",7,"long",0.816666666666667,120,0.0356194159305587
"63","Exp4b","low",8,"short",0.691666666666667,120,0.0425110981465022
"64","Exp4b","low",8,"long",0.75,120,0.0398606427752317
"65","Exp4b","low",9,"short",0.9,120,0.0276162634036218
"66","Exp4b","low",9,"long",0.825,120,0.0349775720811217
"67","Exp4b","low",10,"short",0.9,120,0.0276162634036218
"68","Exp4b","low",10,"long",0.9,120,0.0276162634036218
"69","Exp4b","low",11,"short",0.883333333333333,120,0.0295514888401186
"70","Exp4b","low",11,"long",0.908333333333333,120,0.0265626871416717
"71","Exp4b","low",12,"short",0.8,120,0.0368216845381624
"72","Exp4b","low",12,"long",0.758333333333333,120,0.0394077927677865
"73","Exp4b","low",13,"short",0.908333333333333,120,0.0265626871416717
"74","Exp4b","low",13,"long",0.908333333333333,120,0.0265626871416717
"75","Exp4b","low",14,"short",0.916666666666667,120,0.0254424399503991
"76","Exp4b","low",14,"long",0.908333333333333,120,0.0265626871416717
"77","Exp4b","low",15,"short",0.875,120,0.0304440687945156
"78","Exp4b","low",15,"long",0.883333333333333,120,0.0295514888401186
"79","Exp4b","low",16,"short",0.883333333333333,120,0.0295514888401186
"80","Exp4b","low",16,"long",0.85,120,0.0328699280934587
"81","Exp4b","medium",1,"short",0.833333333333333,120,0.0343065790305767
"82","Exp4b","medium",1,"long",0.716666666666667,120,0.0414811797723995
"83","Exp4b","medium",2,"short",0.766666666666667,120,0.0389345666193704
"84","Exp4b","medium",2,"long",0.775,120,0.0384402118033031
"85","Exp4b","medium",3,"short",0.833333333333333,120,0.0343065790305767
"86","Exp4b","medium",3,"long",0.825,120,0.0349775720811217
"87","Exp4b","medium",4,"short",0.85,120,0.0328699280934587
"88","Exp4b","medium",4,"long",0.875,120,0.0304440687945156
"89","Exp4b","medium",5,"short",0.716666666666667,120,0.0414811797723995
"90","Exp4b","medium",5,"long",0.666666666666667,120,0.0433947713860775
"91","Exp4b","medium",6,"short",0.666666666666667,120,0.0433947713860775
"92","Exp4b","medium",6,"long",0.641666666666667,120,0.0441409835571806
"93","Exp4b","medium",7,"short",0.733333333333333,120,0.0407079039206385
"94","Exp4b","medium",7,"long",0.8,120,0.0368216845381624
"95","Exp4b","medium",8,"short",0.675,120,0.0431158774197153
"96","Exp4b","medium",8,"long",0.658333333333333,120,0.0436584074407572
"97","Exp4b","medium",9,"short",0.841666666666667,120,0.033604690736675
"98","Exp4b","medium",9,"long",0.816666666666667,120,0.0356194159305587
"99","Exp4b","medium",10,"short",0.733333333333333,120,0.0407079039206385
"100","Exp4b","medium",10,"long",0.825,120,0.0349775720811217
"101","Exp4b","medium",11,"short",0.841666666666667,120,0.033604690736675
"102","Exp4b","medium",11,"long",0.816666666666667,120,0.0356194159305587
"103","Exp4b","medium",12,"short",0.666666666666667,120,0.0433947713860775
"104","Exp4b","medium",12,"long",0.608333333333333,120,0.0449337613747409
"105","Exp4b","medium",13,"short",0.825,120,0.0349775720811217
"106","Exp4b","medium",13,"long",0.8,120,0.0368216845381624
"107","Exp4b","medium",14,"short",0.7,120,0.0421845391529786
"108","Exp4b","medium",14,"long",0.725,120,0.0411035196685566
"109","Exp4b","medium",15,"short",0.808333333333333,120,0.0362336596607828
"110","Exp4b","medium",15,"long",0.833333333333333,120,0.0343065790305767
"111","Exp4b","medium",16,"short",0.691666666666667,120,0.0425110981465022
"112","Exp4b","medium",16,"long",0.625,120,0.0445655534361269
"113","Exp4b","high",1,"short",0.675,120,0.0431158774197153
"114","Exp4b","high",1,"long",0.658333333333333,120,0.0436584074407572
"115","Exp4b","high",2,"short",0.641666666666667,120,0.0441409835571806
"116","Exp4b","high",2,"long",0.6,120,0.0450971692941134
"117","Exp4b","high",3,"short",0.725,120,0.0411035196685566
"118","Exp4b","high",3,"long",0.691666666666667,120,0.0425110981465022
"119","Exp4b","high",4,"short",0.816666666666667,120,0.0356194159305587
"120","Exp4b","high",4,"long",0.85,120,0.0328699280934587
"121","Exp4b","high",5,"short",0.6,120,0.0450971692941134
"122","Exp4b","high",5,"long",0.633333333333333,120,0.0443604098483567
"123","Exp4b","high",6,"short",0.608333333333333,120,0.0449337613747409
"124","Exp4b","high",6,"long",0.608333333333333,120,0.0449337613747409
"125","Exp4b","high",7,"short",0.75,120,0.0398606427752317
"126","Exp4b","high",7,"long",0.725,120,0.0411035196685566
"127","Exp4b","high",8,"short",0.641666666666667,120,0.0441409835571806
"128","Exp4b","high",8,"long",0.633333333333333,120,0.0443604098483567
"129","Exp4b","high",9,"short",0.658333333333333,120,0.0436584074407572
"130","Exp4b","high",9,"long",0.766666666666667,120,0.0389345666193704
"131","Exp4b","high",10,"short",0.658333333333333,120,0.0436584074407572
"132","Exp4b","high",10,"long",0.683333333333333,120,0.0428214274204997
"133","Exp4b","high",11,"short",0.741666666666667,120,0.0402938036516246
"134","Exp4b","high",11,"long",0.683333333333333,120,0.0428214274204997
"135","Exp4b","high",12,"short",0.575,120,0.0455063548455876
"136","Exp4b","high",12,"long",0.608333333333333,120,0.0449337613747409
"137","Exp4b","high",13,"short",0.708333333333333,120,0.0418413704377862
"138","Exp4b","high",13,"long",0.741666666666667,120,0.0402938036516246
"139","Exp4b","high",14,"short",0.65,120,0.0439070604289517
"140","Exp4b","high",14,"long",0.591666666666667,120,0.0452469833694679
"141","Exp4b","high",15,"short",0.7,120,0.0421845391529786
"142","Exp4b","high",15,"long",0.725,120,0.0411035196685566
"143","Exp4b","high",16,"short",0.616666666666667,120,0.0447566107168272
"144","Exp4b","high",16,"long",0.641666666666667,120,0.0441409835571806
